Chapter,Theme,문제 번호,분류 이유
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.11.06,"상업의 주체인 '대리상'(보조 상인)과 '지배인'(상업 사용인)의 공통점(경업 금지 의무)을 묻는 문제이므로, '상업의 주체'를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.09.02,"국민 경제를 구성하는 '가계, 기업, 정부'의 역할을 묻는 문제이므로, '상업의 중요성' 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.09.05,"창업 시 발생하는 비용을 '명시적 비용'과 '암묵적 비용'으로 구분하여 기회비용을 계산하는 문제이므로, '합리적 선택'을 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.09.08,"상품을 매매하고(인적 불일치 해소) 창고에 보관하는(시간적 불일치 해소) 사례를 통해 '상업의 기능'을 묻고 있으므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.06.02,"보조 상인인 '대리상, 운송 주선인, 위탁 매매인'의 특징을 비교하고 구분하는 문제이므로, '상업의 주체'를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.06.06,"지식 재산권 중 기존 기술을 실용적으로 개선한 발명에 부여되는 '실용 신안권'을 묻고 있으므로, 상업의 객체를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.11.01,"은행 대출을 통해 필요한 자금을 마련하는 사례는 '자금 융통 기능'에 해당하며, 이는 상업의 보조적 기능 중 하나이므로 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.11.05,"창업 시 발생하는 비용과 포기하는 소득을 바탕으로 '기회비용'을 계산하는 문제이므로, '합리적 선택'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.11.11,"정부가 국민에게 민원 서비스를 제공하는 '정부24' 포털은 'G2C(Government-to-Citizen)' 전자상거래 유형에 해당하며, 이는 경제 주체 간의 상거래를 다루므로 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.11.15,"쌀가게 직원(상업 사용인)에서 가게를 인수하여 '자영 상인'이 되는 과정과 무형 재화인 '권리금'(영업권)에 대해 다루고 있으므로, '상업의 주체'와 '상업의 객체'를 포괄하는 해당 테마로 분류됩니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.09.01,"천연 다이아몬드를 인공 다이아몬드로 대체하는 것은 '대체재'의 사례이므로, 재화의 관계를 다루는 '상업의 중요성' 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.09.04,"특정 상인을 계속적으로 대리하는 '대리상'의 의무와 특징을 묻는 문제이므로, '상업의 주체'(보조 상인)를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.09.11,"산업 재산권인 '특허권'과 '실용신안권'의 존속 기간 및 특징을 비교하는 문제이므로, 상업의 객체(지식 재산권)를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.06.02,"동일한 비용으로 가장 큰 만족(효용)을 얻으려는 '최대 효과의 원칙'을 묻고 있으므로, '합리적 선택'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2022.06.14,"불공정한 거래 행위를 규제하는 '공정거래위원회'의 역할을 묻고 있으며, 이는 건전한 상거래 질서를 유지하는 상업 조성 기관에 대한 내용으로, 상업의 전반적인 중요성을 다루는 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2021.11.01,"행상이 여러 지역을 돌아다니며 물건을 판매하는 활동은 생산자와 소비자의 인적 불일치를 해소하는 '소유권 이전 기능'에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2021.11.08,"본인의 허락 없이 동종 영업을 할 수 없는 경업 금지 의무는 '대리상'과 '상업 사용인'에게 공통으로 적용되므로, '상업의 주체'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2021.09.20,"상업의 주체('상업 사용인')와 객체('실용신안권', '선하증권')에 대한 종합적인 이해를 묻는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2021.06.14,"자동차 수요에 영향을 미치는 요인(소득, 보완재 가격)을 통해 수요 곡선의 이동을 분석하는 문제로, 상거래의 기본 원리를 다루므로 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2021.06.15,"상업의 객체인 무형 재화 '영업권(권리금)'과 상품의 종류인 '전문품'을 구분하는 문제이므로, '상업의 객체'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2026.06.01,"유해 폐기물의 국가 간 이동을 규제하는 '바젤 협약'에 대해 묻고 있으므로, '국제 환경 협약'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2026.06.04,"주어진 자료를 바탕으로 명목 GDP와 실질 GDP, 경제 성장률을 계산하고 비교하는 문제이므로, '경제 발전과 경제 지표' 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2025.11.05,"노동 가능 인구, 경제 활동 인구, 고용률, 실업률 등 '고용 관련 지표'를 계산하고 분석하는 문제이므로, '경제 발전과 경제 지표' 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2025.06.09,"경제 활동 참가율, 실업률, 고용률 등 '고용 관련 지표'를 계산하고 비교하는 문제이므로, '경제 발전과 경제 지표' 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2024.06.04,"주어진 자료를 바탕으로 기준 연도와 비교 연도의 실질 GDP를 계산하여 '경제 성장률'을 구하는 문제이므로, '경제 발전과 경제 지표' 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2023.09.01,"멸종 위기 양서류 보호 활동과 관련된 '생물 다양성 협약'에 대해 묻는 문제이므로, '국제 환경 협약'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2023.06.01,"지구 온난화의 원인인 온실가스 감축을 목표로 하는 '파리 협정'에 대해 묻는 문제이므로, '국제 환경 협약'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2022.11.10,"명목 GDP와 실질 GDP를 구분하고 '경제 성장률'을 계산하는 문제이므로, '경제 발전과 경제 지표'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2022.06.01,"국가 온실가스 감축 목표 달성을 위한 실천 방안을 묻고 있으며, 이는 기후 변화 대응과 관련된 내용이므로 '국제 환경 협약' 테마에 속합니다."
Chapter 01: 상업 활동,"Theme 2: 산업 구조, 경제 발전과 환경",2021.09.01,"유해 폐기물의 국가 간 이전을 통제하는 '바젤 협약'에 대해 묻고 있으므로, '국제 환경 협약'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2026.06.08,"지급 수단인 '어음'(기업 어음, 상업 어음)의 공통적인 특징을 묻고 있으므로, '매매 활동과 지급 수단' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2026.06.16,"경쟁 매매의 한 종류인 '경매매'의 특징을 묻는 문제이므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.11.04,"경쟁 매매 방식인 '경매', '경매매', '입찰 판매'를 구분하고 그 특징을 비교하는 문제이므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.09.16,"판매를 목적으로 상품을 사들이는 '매입의 절차' 중 특정 단계의 활동을 묻고 있으므로, '매입 방법'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.06.08,"매입 가격, 매입 제비용, 영업비, 이익 등으로 구성된 '판매 가격의 구성' 요소를 계산하는 문제이므로, '판매 가격의 구성'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.06.10,"'매입 방법'(대량 매입과 소량 매입) 변경에 따른 재고, 보관 비용, 상품 회전율의 변화를 묻고 있으므로, '매입 방법'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.06.11,"'경쟁 매매 방식'(경매매, 입찰)의 공통점을 묻는 문제이므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2025.06.17,"온라인 고객 관리, 맞춤형 판매, 방문 판매 등 다양한 '판매 활동'의 사례를 통해 상업의 기능을 묻고 있으므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.11.03,"지급 수단인 '약속어음'과 '환어음'을 발행하는 사례를 통해 두 어음의 공통점(지급 위탁)을 묻고 있으므로, '지급 수단'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.09.05,"판매 가격, 매입 원가, 영업비 등을 바탕으로 '판매 가격의 구성' 요소와 이익률 변화를 계산하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.09.13,"매장 판매의 단계별 업무 중 고객에게 상품의 특징을 설명하고 제시하는 '상품 제안' 단계를 묻고 있으므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.09.16,"경쟁 매매 방식 중 서면으로 가격을 제출받아 거래하는 '입찰'에 대해 묻고 있으므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.06.07,"'방문 판매' 절차 중 상품 제안 단계에서의 적절한 고객 응대 표현을 묻는 문제이므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2024.06.13,"창고증권(상업 객체)을 교부받고, 상품의 매입 원가와 영업비, 판매 가격을 바탕으로 이익률을 계산하는 문제이므로, '판매 가격 구성'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.11.07,"판매 방식 중 '무점포 판매'(인터넷 쇼핑몰)와 '방문 판매'의 특징을 비교하는 문제이므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.11.12,"'매입 방법'인 '포전매매(입도선매)'와 '당용매입(소량 매입)'의 특징을 비교하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.11.13,"'판매 가격의 구성' 요소인 매입 원가, 판매 가격, 영업비, 이익 등을 계산하고 이익률, 판매 원가 비중의 변화를 분석하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.09.06,"금전 증권의 하나이며 만기에 부도 가능성이 있는 지급 수단인 '어음'에 대해 묻고 있으므로, '지급 수단'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.09.07,"수산물 시장에서 손동작으로 가격을 제시하며 매매하는 '경매' 방식에 대해 묻고 있으므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.06.14,"'방문 판매' 절차 중 고객의 반론에 대응하는 단계를 묻고 있으므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2023.06.18,"매입 원가, 판매 원가, 이익, 이익률 등 '판매 가격의 구성' 요소를 계산하고 분석하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.11.02,"'환어음'과 '당좌수표'는 모두 발행인이 제3자에게 지급을 위탁하는 지급 수단이므로, '지급 수단'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.11.18,"'매입 방법' 중 한꺼번에 많은 양을 사는 '대량 매입'과 매일 필요한 양만 사는 '당용 매입'의 장단점을 비교하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.09.14,"매입 가격, 운송비, 인건비, 광고료, 이익을 바탕으로 '판매 가격의 구성'과 판매 원가, 이익 등을 계산하는 문제이므로 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.09.16,"도매시장의 '경매'와 구청의 '입찰 판매'라는 '경쟁 매매' 방식의 특징을 비교하는 문제이므로 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.06.04,"판매원이 소비자를 직접 찾아가서 판매하는 '방문 판매' 방식의 특징을 묻고 있으므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.06.07,"'경쟁 매매' 방식 중 여러 구단이 최고 이적료를 제시하는 '입찰'에 대해 묻고 있으므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2022.06.10,"매장 판매 절차 중 고객의 니즈를 파악하여 맞춤형 상품을 제시하는 단계를 묻고 있으므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.11.05,"신용카드(후급), 직불카드(즉시 지급), 약속어음(부도 가능성), 자기앞수표(은행 발행) 등 다양한 '지급 수단'의 특징을 비교하는 문제이므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.11.07,"'방문 판매', '전자 상거래', '매장 판매' 등 다양한 판매 방식의 특징을 비교하는 문제이므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.09.13,"'당좌수표' 발행 시 당좌예금 잔액과 당좌차월 약정 한도를 고려하는 문제이므로, '지급 수단'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.09.17,"매장 판매, 방문 판매, 인터넷 판매 등 다양한 '판매 방식'의 특징을 비교하는 문제이므로, '매매 활동'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.06.01,"농수산물 도매 시장에서 이루어지는 '경매'의 특징을 묻는 문제이므로, '매매의 종류'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 3: 매매 활동과 지급 수단,2021.06.17,"'매입 방법'을 대량 구입에서 당일 필요한 양만 구입하는 방식으로 변경했을 때의 효과를 묻고 있으므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 4: 유통 관리,2025.09.08,"'유통 경로 정책'이 개방적 유통 경로에서 선택적 유통 경로로 변경될 때 나타나는 현상을 묻고 있으므로, '유통 관리' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 4: 유통 관리,2024.11.19,"수집, 중계, 분산 기관의 존재 여부에 따라 '유통 경로'의 유형을 구분하는 문제이므로, '유통 경로'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 4: 유통 관리,2024.09.12,"독점적 판매권을 부여하는 '전속적 유통 경로'에서 모든 점포에 판매를 허용하는 '개방적 유통 경로'로 변경하는 사례를 통해 '유통 경로 정책'을 묻고 있으므로, 해당 테마에 속합니다."
Chapter 01: 상업 활동,Theme 4: 유통 관리,2022.06.16,"독점적 판매권을 부여하는 '전속적 유통 경로'에서 모든 소매점에 판매를 허용하는 '개방적 유통 경로'로 변경할 때의 효과를 묻고 있으므로, '유통 경로 정책'을 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 4: 유통 관리,2021.09.04,"'유통 경로 정책'을 독점적 판매권을 부여하는 방식에서 모든 소매상에게 공급하는 방식으로 변경하는 사례를 묻고 있으므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2026.06.10","기업 집중 형태인 '카르텔'과 '트러스트'의 특징을 비교하고, 경영 전략 변경에 따른 활동을 묻고 있으므로, '기업의 결합'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2025.06.01","이윤 극대화를 목적으로 하는 경제 주체(기업)의 역할 중 '일자리 창출'에 대해 묻고 있으므로, '기업의 역할'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2025.06.02","기업 집중 형태 중 법률적·경제적 독립성을 모두 상실하는 '트러스트'의 특징을 묻고 있으므로, '기업의 결합'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2024.11.05","일자리 창출(경제적 책임), 계약 준수(법률적 책임), 장학사업(자선적 책임) 등 기업의 '사회적 책임(CSR)'을 묻는 문제로, 이는 기업의 역할을 다루는 테마에 포함됩니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2023.11.19","기업이 공익 단체에 기부하는 활동은 '자선적 책임'에 해당하며, 이는 기업의 '사회적 책임(CSR)'의 한 영역이므로 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2023.06.17","기업이 소외 계층을 위해 기부하는 활동은 '자선적 책임'에 해당하며, 이는 '기업의 사회적 책임(CSR)'의 한 영역이므로 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.11.14","기업의 사회적 책임 중 이윤 확보를 통해 주주의 이익을 실현하는 '경제적 책임'에 대한 문제입니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.09.12","기업이 대학에 발전 기금을 기부하는 것은 '자선적 책임'에 해당하며, 이는 기업의 사회적 책임을 다루는 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 1: 기업 역할과 분류","2021.06.02","기업이 부품 국산화를 통해 원가를 절감하고 이윤을 확대하는 것은 '경제적 책임'에 해당하므로, 기업의 사회적 책임을 다루는 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2026.06.14","'기능식 조직'의 단점을 보완하고, 구성원이 두 부서에 동시에 소속되는 '매트릭스 조직'으로의 개편을 다루고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2025.06.05","경영 관리 순환 과정(통제, 지휘), 조직 개편(매트릭스 조직), 경영 혁신(인력 규모 축소) 등 전반적인 '경영 관리' 활동에 대해 묻고 있으므로, 해당 테마로 분류됩니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2024.11.08","'경영 관리 순환 과정'인 계획(C), 조직(B), 지휘(D), 통제(A)의 각 단계별 활동 사례를 구분하는 문제이므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2024.09.08","'라인 조직'에서 참모(스태프)를 추가한 '라인-스태프 조직'으로의 변경에 따른 장점을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2024.06.14","경영 관리 순환 과정 중 리더십 강화, 의사소통, 동기 부여 등의 활동이 포함되는 '지휘' 과정을 묻는 문제이므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2023.09.15","경영 목표 설정(계획), 조직 구조 개편(조직), 동기 부여(지휘), 실적 분석(통제) 등 '경영 관리 순환 과정'의 순서를 배열하는 문제이므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2023.09.17","기업의 경영 환경과 '기능식 조직', '매트릭스 조직' 등 조직 구조에 대해 묻고 있으므로, '경영 관리' 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2023.06.05","현재의 기능식 조직을 보완하기 위해 임시 조직인 '프로젝트 조직'을 운영하는 사례를 통해 조직 형태의 특징을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2022.11.04","기존 조직에 전문 인력으로 구성된 기획조정실을 추가하는 '라인-스태프 조직'으로의 개편을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2022.09.02","한 직원이 부서와 프로젝트팀에 동시에 소속되어 업무를 수행하는 '매트릭스 조직'의 사례를 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2022.06.19","특정 과제 해결을 위해 임시로 구성되었다가 해체되는 '프로젝트 조직'의 특징을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2021.11.04","기능별 조직에 프로젝트 조직을 결합한 '매트릭스 조직'의 특징(통합적 협력, 탄력적 인력 운용)을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2021.09.10","수직적 명령 체계를 가진 '라인 조직'에 전문성을 지닌 참모(스태프)를 추가한 '라인-스태프 조직'으로 개편하는 사례를 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 2: 경영 관리","2021.06.16","책임 경영과 부문 간 경쟁 유도를 위해 지역별, 제품별로 조직을 구성하는 '사업부제 조직'의 특징을 묻고 있으므로, '조직의 형태'를 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 3: 기업의 부문별 활동과 경영 혁신","2025.11.06","'경영 혁신 기법' 중 조직의 효율성을 높이기 위해 부서 통합, 직무 체계 축소 등을 하는 '다운사이징'에 대해 묻고 있으므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 3: 기업의 부문별 활동과 경영 혁신","2025.09.02","'경영 혁신 기법' 중 선진 기업의 성공 요인을 분석하여 자사에 적용하는 '벤치마킹' 사례를 묻고 있으므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 3: 기업의 부문별 활동과 경영 혁신","2025.09.06","기업의 부문별 활동 중 급여 계산, 4대 보험 관리 등 '인적 자원 관리'의 세부 능력 단위를 묻고 있으므로, 해당 테마에 속합니다."
Chapter 02: 기업 활동,"Theme 3: 기업의 부문별 활동과 경영 혁신","2024.11.11","기업의 특정 업무를 외부 전문 업체에 위탁하는 '아웃소싱' 기법에 대해 묻고 있으므로, '경영 혁신'을 다루는 테마에 해당합니다."
Chapter 02: 기업 활동,"Theme 3: 기업의 부문별 활동과 경영 혁신","2024.09.03","설문 결과를 통해 개선이 시급한 관리 활동(재무 관리, 생산 관리, 회계 정보 관리, 인적 자원 관리)을 파악하는 문제로, '기업의 부문별 활동'을 다루는 테마에 해당합니다."
